name,type,city,country,href,rating,ratings,tags,cost,Bold,Tannic,Sweet,Acidic,blackcurrant,cassis,blackberry,black fruit,plum,dark fruit,oak,cedar,tobacco,vanilla,chocolate,cigar box,leather,earthy,smoke,graphite,forest floor,mushroom,butter,black cherry,blueberry,minerals,tar,cocoa,coffee,jam,honey,ash,mulberry,nutmeg,cola,cigar,mint,pepper,licorice,rosemary,balsamic,clove,cherry,strawberry,red fruit,raspberry,red cherry,red plum,caramel,truffle,dark chocolate,sandalwood,tobacco leaf,underbrush,eucalyptus,cinnamon,menthol,pencil shavings,bilberry,game,roasted meat,white pepper,savory,pomegranate,cranberry,fresh strawberry,coconut,sour cherry,tree bark,red currant,mocha,baking spice,black raspberry,morello cherry,stone,slate,dried leaves,dried herbs,sage,sweet tobacco,new leather,wild strawberry,ginger,pencil lead,grilled meat,black plum,wax,anise,bay leaf,black licorice,iron,charcoal,musk,aniseed,bramble,salt,espresso,juniper berry,ripe blackberry,blackcurrant jam,blackberry jam,cured meat,cherry cola,ripe strawberry,boysenberry,chalk,toffee,coriander,red-berry jam,blackberry sauce,star anise,green apple,white cherry,incense,milk chocolate,pipe tobacco,butterscotch,gun smoke,beeswax,raisin,dried fruit,fig,prune,dried blueberry,black raisin,black olive,dried strawberry,watermelon,crushed rocks,barbecue meat,bing cherry,ground coffee,thyme,red licorice,fennel,cracked pepper,berry jam,dill,allspice,saline,crushed gravel,cherry syrup,cherry cough syrup,cream,chutney,rubber,kerosene,jalapeno,maraschino cherry,baking chocolate,camphor,potting soil,flint,acai berry,pastry,citrus,grapefruit,lemon peel,orange peel,brown bread,vanilla bean,oregano,green herbs,banana,cheese,yeast,yogurt,parmesan cheese,fruit punch,green peppercorn,juniper,sour plum,petroleum,nutty,plastic,wet gravel,clay pot,walnut,oil,cocoa nib,dried apricot,peach,pink peppercorn,wood smoke,apricot,apple,pear,nectarine,lemon,lime,lemon zest,orange,melon,tropical,pineapple,mango,bubblegum,lemon curd,honeycomb,tangerine,macadamia nut,pink grapefruit,passion fruit,lychee,kiwi,stone fruit,lime peel,white peach,guava,marmalade,yellow apple,quince,lime zest,lanolin,yellow plum,creme brulee,white nectarine,starfruit,orange zest,grass,gooseberry,asparagus,straw,bell pepper,fresh-cut grass,papaya,green bell pepper,hay,tomato leaf,tomato,honeydew melon,mandarin orange,baked apple,fruit cup,wet slate,pomello,beef broth,lemon pith,toasted bread,meyer lemon,buttered popcorn,elderflower,jasmine,lavender,perfume,orange blossom,honeysuckle,blood orange,citrus zest,grapefruit pith,preserved lemon,cheesy,toast,burnt caramel,hazelnut,green mango,rose water,green papaya,green pineapple,cantaloupe,Black Fruit,Oaky,Earthy,Spices,Red Fruit,Tree Fruit,Dried Fruit,Microbio,Citrus,Ageing,Tropical,Vegetal,Floral,Grapes,Region,Wine style,Alcohol,imgurl
Stonyridge Vineyard Larose Red Blend 2019,Red,Waiheke Island,New Zealand,https://www.vivino.com/stonyridge-vineyard-larose-red-blend/w/1631901?year=2019&price_id=24178192,4.7,81,"['New Zealand', 'Waiheke Island', 'Stonyridge Vineyard', 'Red wine', 'Blend']",282090,66.7221,58.5902,7.71501,62.9565,70,55,53,40,35,18,57,49,47,36,25,24,75,20,20,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,238,139,0,0,0,0,0,0,0,0,0,0,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']",Waiheke Island,New Zealand Bordeaux Blend,0,https://images.vivino.com/thumbs/zvZMN1UGTtyNk_LC4p9zPA_pb_x600.png
Chimney Rock Elevage 2000,Red,Stags Leap District,United States,https://www.vivino.com/chimney-rock-winery-elevage/w/836?year=2000&price_id=25130646,4.7,33,"['United States', 'Stags Leap District', 'Chimney Rock', 'Red wine', 'Blend']",360000,84.3588,52.4871,4.70766,61.9616,9,0,50,0,10,17,53,7,24,25,48,0,30,19,17,0,0,0,6,18,11,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,163,82,0,0,0,0,0,0,0,0,0,0,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']",Stags Leap District,Napa Valley Bordeaux Blend,0,https://images.vivino.com/thumbs/NlbQmg7IRIya0f46mh0WzQ_pb_x600.png
Casa Silva Altura 2008,Red,Colchagua Valley,Chile,https://www.vivino.com/casa-silva-altura/w/18323?year=2008&price_id=3680215,4.6,641,"['Chile', 'Colchagua Valley', 'Casa Silva', 'Red wine', 'Carménère']",222676,76.0263,53.5519,11.0432,44.7997,7,0,20,7,11,5,24,0,15,14,5,0,7,2,5,0,0,3,1,0,0,0,0,0,8,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,67,21,0,0,0,0,0,0,0,0,0,0,['100% Carménère'],Colchagua Valley,Chilean Bordeaux Blend,14.5,https://images.vivino.com/thumbs/WXLuZ4cVQ7ur7p0slQWdRw_pb_x600.png
Sena Aconcagua Valley 2003,Red,Aconcagua Valley,Chile,https://www.vivino.com/sena-aconcagua-valley/w/25474?year=2003&price_id=2895098,4.6,183,"['Chile', 'Aconcagua Valley', 'Sena', 'Red wine', 'Blend']",800000,81.3597,56.1299,15.0872,45.5247,265,184,323,152,174,0,382,132,262,213,253,0,200,87,112,40,0,33,0,0,120,0,0,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,1307,507,0,0,0,0,0,0,0,0,0,0,"['Carménère', 'Cabernet Sauvignon', 'Malbec', 'Petit Verdot']",Aconcagua Valley,Chilean Bordeaux Blend,0,https://images.vivino.com/thumbs/DU7ypIztQEiTxv2nWmSUFw_pb_x600.png
Santa Carolina Luis Pereira 2012,Red,Central Valley,Chile,https://www.vivino.com/santa-carolina-rapel-valley-luis-pereira-central-valley-red-wine/w/5197411?year=2012&price_id=9865746,4.6,144,"['Chile', 'Central Valley', 'Santa Carolina', 'Red wine', 'Cabernet Sauvignon']",205548,69.7862,31.5572,11.0478,34.7152,1,0,3,1,4,0,2,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,8,0,0,0,0,0,0,0,0,0,['100% Cabernet Sauvignon'],Central Valley,Chilean Cabernet Sauvignon,0,https://images.vivino.com/thumbs/0zxhNJzIRcKk_HHjGhsX0w_pb_x600.png
Muga Torre Muga 2000,Red,Rioja,Spain,https://www.vivino.com/muga-torre-muga/w/7494?year=2000&price_id=2754321,4.6,126,"['Spain', 'Rioja', 'Muga', 'Red wine', 'Blend']",115620,66.8878,65.3567,11.304,62.0533,0,49,111,65,64,44,236,33,127,157,74,0,157,63,57,0,0,0,0,32,0,19,0,21,31,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,658,341,0,0,0,0,0,0,0,0,0,0,"['Tempranillo', 'Mazuelo', 'Graciano']",Rioja,Spanish Rioja Red,0,https://images.vivino.com/thumbs/GpOndsWVRFeNzWTfI8LucA_pb_x600.png
Muga Aro 2001,Red,Rioja,Spain,https://www.vivino.com/muga-aro/w/7495?year=2001&price_id=16860341,4.6,104,"['Spain', 'Rioja', 'Muga', 'Red wine', 'Tempranillo']",235523,67.8035,65.5414,13.3259,62.927,7,6,33,8,17,0,62,18,11,31,7,0,26,13,19,0,0,6,0,14,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,141,78,0,0,0,0,0,0,0,0,0,0,['100% Tempranillo'],Rioja,Spanish Rioja Red,0,https://images.vivino.com/thumbs/oZqEuRdwTkKhinhOwjxSjw_pb_x600.png
Chimney Rock Cabernet Sauvignon 2002,Red,Stags Leap District,United States,https://www.vivino.com/chimney-rock-winery-cabernet-sauvignon/w/835?year=2002&price_id=25130668,4.6,76,"['United States', 'Stags Leap District', 'Chimney Rock', 'Red wine', 'Cabernet Sauvignon']",360000,85.0,50.8961,3.88637,52.6427,53,54,173,0,103,76,227,40,75,168,68,0,93,61,42,14,0,0,0,48,0,0,0,24,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,602,240,0,0,0,0,0,0,0,0,0,0,['Cabernet Sauvignon'],Stags Leap District,Napa Valley Cabernet Sauvignon,0,https://images.vivino.com/thumbs/x9gLcGMXRTOwjoPHoSldGw_pb_x600.png
Yangarra Ironheart Shiraz 2017,Red,McLaren Vale,Australia,https://www.vivino.com/yangarra-estate-vineyard-ironheart-shiraz/w/1542349?year=2017&price_id=23466122,4.6,74,"['Australia', 'McLaren Vale', 'Yangarra', 'Red wine', 'Shiraz/Syrah']",300000,84.7161,46.5777,22.5989,43.4415,5,0,8,7,15,6,20,0,7,9,17,0,12,3,3,0,1,0,0,12,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,22,0,0,0,0,0,0,0,0,0,0,['Shiraz/Syrah'],McLaren Vale,Australian Shiraz,0,https://images.vivino.com/thumbs/JzJc3sG8QKmwfJE8zFu3kA_pb_x600.png
Stella di Campalto Brunello di Montalcino 2013,Red,Brunello di Montalcino,Italy,https://www.vivino.com/stella-di-campalto-brunello-di-montalcino/w/1166466?year=2013&price_id=21493486,4.6,59,"['Italy', 'Brunello di Montalcino', 'Stella di Campalto', 'Red wine', 'Sangiovese']",360000,42.6082,55.2566,6.7288,62.8808,0,0,0,0,0,0,28,14,32,23,0,0,37,18,11,0,0,6,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,36,28,20,9,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,85,0,146,0,0,0,0,0,0,0,0,['Sangiovese'],Brunello di Montalcino,Italian Brunello,0,https://images.vivino.com/thumbs/l6eyLH3LT6GB8VztfQyDBw_pb_x600.png
